user_id,order_id,order_date,item_name,item_category,price,quantity,offer_applied,city,payment_mode,delivery_time_mins,rating,total_amount,pre_post_offer
dd304246-5d11-4895-876b-8f7cce15e39e,3adffa81-c898-44c7-b9ae-1813d5892300,2025-04-09,Salad,Indian,256.0,4,Yes,New York,UPI,90,4.0,1024.0,Post
b0c2d7fc-57b1-4abe-9327-ed5912fb7ca5,0893d299-396a-40c3-a97c-aad72e02c43a,2024-11-30,Salad,Vegetarian,311.3,4,Yes,Los Angeles,UPI,17,4.0,1245.2,Post
ffefe754-9190-4097-b45e-0ce77d33daf7,e04f8dbb-b7db-4323-8be9-1d1475dbf657,2024-10-11,Sushi,Indian,234.36,3,Yes,Chicago,Cash,74,3.0,703.08,Post
48478a9d-bf7e-47c2-8c1e-63a377ee667b,2af86523-3fef-4ca8-b95e-143a2f9291e6,2024-12-30,Pasta,Vegetarian,217.92,3,No,Houston,UPI,40,4.0,653.76,Post
e3899f38-fc52-4abf-b2fb-e44008dd3322,6bb75048-55e2-4431-acc3-5fd0c500cd2a,2025-02-18,Pizza,Italian,258.32,5,No,Los Angeles,UPI,81,3.0,1291.6,Post
af918d4c-6c57-453c-9c03-ec39b297834a,1b60854e-179c-4cff-be20-bc41183edd23,2024-11-28,Pasta,Indian,286.46,1,No,Houston,Credit Card,64,1.0,286.46,Post
3b301014-a8cd-4b44-b488-0de9f942291f,dbd3b17a-d111-467f-9e67-6cb99ddd8367,2024-05-28,Salad,Chinese,401.17,5,Yes,Los Angeles,Credit Card,29,1.0,2005.8500000000001,Pre
503e9ca2-5e72-4a66-b28f-80ad50b35cbf,31936667-c429-4793-86d0-97be9971b72f,2024-07-08,Burger,Italian,331.51,3,Yes,Los Angeles,UPI,84,1.0,994.53,Pre
71931598-ad19-4c78-a8c4-413181d66610,c00ce611-ad82-4324-9aa0-bf6951d21536,2025-03-15,Salad,Italian,426.02,5,No,New York,Cash,59,5.0,2130.1,Post
18c9c693-0350-4039-bde3-05758632ac21,d97f5b1f-b61f-4382-b59d-3d5604ef077a,2024-10-27,Pizza,Fast Food,183.54,2,Yes,New York,Credit Card,57,3.0,367.08,Post
