user_id,order_id,order_date,item_name,item_category,price,quantity,offer_applied,city,payment_mode,delivery_time_mins,rating,total_amount,pre_post_offer,order_day,order_month,total_amount_discounted,price_zscore
dd304246-5d11-4895-876b-8f7cce15e39e,3adffa81-c898-44c7-b9ae-1813d5892300,2025-04-09,Salad,Indian,256.0,4,Yes,New York,UPI,90,4.0,1024.0,Post,2,4,921.6,-0.3237714086722113
b0c2d7fc-57b1-4abe-9327-ed5912fb7ca5,0893d299-396a-40c3-a97c-aad72e02c43a,2024-11-30,Salad,Vegetarian,311.3,4,Yes,Los Angeles,UPI,17,4.0,1245.2,Post,5,11,1120.68,0.19637555176095617
ffefe754-9190-4097-b45e-0ce77d33daf7,e04f8dbb-b7db-4323-8be9-1d1475dbf657,2024-10-11,Sushi,Indian,234.36,3,Yes,Chicago,Cash,74,3.0,703.08,Post,4,10,632.772,-0.5273153548525682
48478a9d-bf7e-47c2-8c1e-63a377ee667b,2af86523-3fef-4ca8-b95e-143a2f9291e6,2024-12-30,Pasta,Vegetarian,217.92,3,No,Houston,UPI,40,4.0,653.76,Post,0,12,653.76,-0.6819485561097343
e3899f38-fc52-4abf-b2fb-e44008dd3322,6bb75048-55e2-4431-acc3-5fd0c500cd2a,2025-02-18,Pizza,Italian,258.32,5,No,Los Angeles,UPI,81,3.0,1291.6,Post,1,2,1291.6,-0.30194969170647995
af918d4c-6c57-453c-9c03-ec39b297834a,1b60854e-179c-4cff-be20-bc41183edd23,2024-11-28,Pasta,Indian,286.46,1,No,Houston,Credit Card,64,1.0,286.46,Post,3,11,286.46,-0.03726731437213416
3b301014-a8cd-4b44-b488-0de9f942291f,dbd3b17a-d111-467f-9e67-6cb99ddd8367,2024-05-28,Salad,Chinese,401.17,5,Yes,Los Angeles,Credit Card,29,1.0,2005.85,Pre,1,5,1805.2649999999999,1.0416849068084924
503e9ca2-5e72-4a66-b28f-80ad50b35cbf,31936667-c429-4793-86d0-97be9971b72f,2024-07-08,Burger,Italian,331.51,3,Yes,Los Angeles,UPI,84,1.0,994.53,Pre,0,7,895.077,0.3864690430874354
71931598-ad19-4c78-a8c4-413181d66610,c00ce611-ad82-4324-9aa0-bf6951d21536,2025-03-15,Salad,Italian,426.02,5,No,New York,Cash,59,5.0,2130.1,Post,5,3,2130.1,1.2754218320664343
18c9c693-0350-4039-bde3-05758632ac21,d97f5b1f-b61f-4382-b59d-3d5604ef077a,2024-10-27,Pizza,Fast Food,183.54,2,Yes,New York,Credit Card,57,3.0,367.08,Post,6,10,330.372,-1.0053238273519096
72360595-eaaa-473d-b4d7-6f53d00ac227,b4693cc8-53a7-4d1a-a6b9-4e94c86ea9da,2024-07-02,Sushi,Fast Food,415.66,4,No,New York,UPI,22,4.0,1662.64,Pre,1,7,1662.64,1.1779765787194616
654c9879-7ea5-41a4-a8a5-3bbe44b0cd8b,119b3d61-24a7-4ff8-acab-996eeb162ad0,2024-08-20,Pasta,Italian,309.64,3,Yes,New York,Credit Card,38,3.0,928.92,Pre,1,8,836.028,0.18076173703547566
5602cec0-a31a-41f2-bf1a-26ae44d2eedf,abd61dda-8929-445c-93ad-5d56f37c6d89,2024-11-09,Salad,Fast Food,185.26,3,No,Chicago,UPI,57,2.9950980392156863,555.78,Post,5,11,555.78,-0.9891456578773156
2443c937-f379-4d13-830e-85dfb54f4ff3,979d1edc-b480-44c9-942e-31065eacda92,2024-05-23,Pizza,Fast Food,257.37,1,Yes,Chicago,Cash,55,3.0,257.37,Pre,3,5,231.633,-0.31088530856744745
af74cab7-fd0d-4a52-97c6-61ea9f1f1615,f110fcdd-4a92-4a6f-86d0-187dbb0f2294,2024-07-10,Pizza,Fast Food,210.38,3,Yes,New York,Cash,38,2.9950980392156863,631.14,Pre,2,7,568.026,-0.7528691362483614
c608c803-c171-4c73-8ba6-6c38d13a5b4d,a503ffd6-9218-4d15-bf67-18e15b2a6559,2024-11-16,Salad,Vegetarian,129.64,2,Yes,New York,UPI,73,5.0,259.28,Post,5,11,233.35199999999998,-1.5123025103057564
